SYMBOL,LTP,%CHNG,VOLUME
HINDALCO,463.05,3.95,"77,65,878"
TATAMOTORS,470.50,3.73,"2,27,30,750"
DIVISLAB,"4,558.00",3.46,"8,43,170"
EICHERMOT,"2,492.00",3.12,"6,25,661"
BAJFINANCE,"6,770.00",2.93,"12,67,898"
